H 0 
RZ 4 0.785399
RZ 19 -0.785399
CX 0 19
CX 0 4
RZ 0 0.785399
RZ 4 -0.785399
CX 0 4
RZ 19 0.785399
H 19 
CX 19 4
RY 20 2.2294426593927588
RZ 20 -1.6960526585023112
CX 20 5
H 20 
CX 5 20
RZ 20 -0.785399
CX 0 20
RZ 20 0.785399
CX 5 20
RZ 5 0.785399
RZ 20 -0.785399
CX 0 20
CX 0 5
RZ 0 0.785399
RZ 5 -0.785399
CX 0 5
RZ 20 0.785399
H 20 
CX 20 5
RY 21 -0.13609350259829256
RZ 21 2.9460571452883553
CX 21 6
H 21 
CX 6 21
RZ 21 -0.785399
CX 0 21
RZ 21 0.785399
CX 6 21
RZ 6 0.785399
RZ 21 -0.785399
CX 0 21
CX 0 6
RZ 0 0.785399
RZ 6 -0.785399
CX 0 6
RZ 21 0.785399
H 21 
CX 21 6
RY 22 0.8734654766781782
RZ 22 1.7161884431946852
CX 22 7
H 22 
CX 7 22
RZ 22 -0.785399
CX 0 22
RZ 22 0.785399
CX 7 22
RZ 7 0.785399
RZ 22 -0.785399
CX 0 22
CX 0 7
RZ 0 0.785399
RZ 7 -0.785399
CX 0 7
RZ 22 0.785399
H 22 
CX 22 7
RY 23 -1.3382958080090501
RZ 23 3.0039411651003967
CX 23 8
H 23 
CX 8 23
RZ 23 -0.785399
CX 0 23
RZ 23 0.785399
CX 8 23
RZ 8 0.785399
RZ 23 -0.785399
CX 0 23
CX 0 8
RZ 0 0.785399
RZ 8 -0.785399
CX 0 8
RZ 23 0.785399
H 23 
CX 23 8
RY 24 0.7613812769411785
RZ 24 0.20193489550751753
CX 24 9
H 24 
CX 9 24
RZ 24 -0.785399
CX 0 24
RZ 24 0.785399
CX 9 24
RZ 9 0.785399
RZ 24 -0.785399
CX 0 24
CX 0 9
RZ 0 0.785399
RZ 9 -0.785399
CX 0 9
RZ 24 0.785399
H 24 
CX 24 9
RY 25 0.5039583598199444
RZ 25 1.8973968430923778
CX 25 10
H 25 
CX 10 25
RZ 25 -0.785399
CX 0 25
RZ 25 0.785399
CX 10 25
RZ 10 0.785399
RZ 25 -0.785399
CX 0 25
CX 0 10
RZ 0 0.785399
RZ 10 -0.785399
CX 0 10
RZ 25 0.785399
H 25 
CX 25 10
RY 26 1.6107340995305206
RZ 26 0.999451059350366
CX 26 11
H 26 
CX 11 26
RZ 26 -0.785399
CX 0 26
RZ 26 0.785399
CX 11 26
RZ 11 0.785399
RZ 26 -0.785399
CX 0 26
CX 0 11
RZ 0 0.785399
RZ 11 -0.785399
CX 0 11
RZ 26 0.785399
H 26 
CX 26 11
RY 27 -2.509433157811081
RZ 27 2.454566108482541
CX 27 12
H 27 
CX 12 27
RZ 27 -0.785399
CX 0 27
RZ 27 0.785399
CX 12 27
RZ 12 0.785399
RZ 27 -0.785399
CX 0 27
CX 0 12
RZ 0 0.785399
RZ 12 -0.785399
CX 0 12
RZ 27 0.785399
H 27 
CX 27 12
RY 28 -1.4554716602928577
RZ 28 1.712528583288921
CX 28 13
H 28 
CX 13 28
RZ 28 -0.785399
CX 0 28
RZ 28 0.785399
CX 13 28
RZ 13 0.785399
RZ 28 -0.785399
CX 0 28
CX 0 13
RZ 0 0.785399
RZ 13 -0.785399
CX 0 13
RZ 28 0.785399
H 28 
CX 28 13
RY 29 2.4308144318068328
RZ 29 3.0366080783611986
CX 29 14
H 29 
CX 14 29
RZ 29 -0.785399
CX 0 29
RZ 29 0.785399
CX 14 29
RZ 14 0.785399
RZ 29 -0.785399
CX 0 29
CX 0 14
RZ 0 0.785399
RZ 14 -0.785399
CX 0 14
RZ 29 0.785399
H 29 
CX 29 14
RY 30 -3.1251706127856007
RZ 30 0.6046177997834534
CX 30 15
H 30 
CX 15 30
RZ 30 -0.785399
CX 0 30
RZ 30 0.785399
CX 15 30
RZ 15 0.785399
RZ 30 -0.785399
CX 0 30
CX 0 15
RZ 0 0.785399
RZ 15 -0.785399
CX 0 15
H 0 
RZ 30 0.785399
H 30 
CX 30 15
