H 0 
H 1 
H 2 
H 3 
H 4 
H 5 
H 6 
H 7 
H 8 
H 9 
H 10 
H 11 
H 12 
H 13 
H 14 
H 15 
H 16 
H 17 
H 18 
H 19 
H 20 
H 21 
H 22 
H 23 
H 24 
H 25 
H 26 
H 27 
H 28 
H 29 
H 30 
H 31 
RZ 22 0.45381454326585297
CX 21 22
CX 22 23
RZ 23 2.397669150582268
CX 22 23
CX 23 24
RZ 24 1.4838919992482231
CX 23 24
CX 24 25
RZ 25 2.0637274139585315
CX 24 25
CX 25 26
RZ 26 2.305138992992412
CX 25 26
CX 26 27
RZ 27 1.0782694845052445
CX 26 27
CX 27 28
RZ 28 1.6826760206183626
CX 27 28
CX 28 29
RZ 29 2.363887240309458
CX 28 29
CX 29 30
RZ 30 0.9922068131210395
CX 29 30
CX 30 31
RZ 31 1.8902176211945525
CX 30 31
RY 0 0.7752491671381975
RZ 0 2.7825796022102383
RY 1 0.8565309988124507
RZ 1 2.6846640841825775
RY 2 1.1666721881045747
RZ 2 1.8175899948679963
RY 3 2.4166997542518787
RZ 3 1.4176726010306304
RY 4 2.1029767423407075
RZ 4 1.949733469758476
RY 5 1.5845502279288308
RZ 5 2.8608615686031724
RY 6 1.4100183997183715
RZ 6 0.9686464936505967
RY 7 1.6580527210311697
RZ 7 1.305812434012127
RY 8 1.7102917972993692
RZ 8 2.9748069013532503
RY 9 0.05737090403281774
RZ 9 1.4169404726698749
RY 10 0.014246585608030271
RZ 10 0.9894071713834064
RY 11 0.9408218187741298
RZ 11 0.3895713152750775
RY 12 1.2964748651145672
RZ 12 2.845674885994027
RY 13 1.0052330480185467
RZ 13 0.9538157904433293
RY 14 1.565438440331221
RZ 14 2.5742257806606355
RY 15 1.467006607647535
RZ 15 0.11472375901040714
RY 16 0.8234718389029302
RZ 16 0.8127055815127123
RY 17 2.7774841338791383
RZ 17 3.0348113713653557
RY 18 1.0037600461169014
RZ 18 0.5759045889374745
RY 19 2.368481841083289
RZ 19 2.5014160856222722
RY 20 2.497151664798225
RZ 20 2.6815630473965646
RY 21 2.2210497248938195
RZ 21 0.7623612705961387
RY 22 0.215036101824547
RZ 22 2.103330208143453
RY 23 2.8901013181351023
RZ 23 0.41395645461066505
RY 24 3.0283581818982497
RZ 24 2.6225035412948685
RY 25 2.4976365958309255
RZ 25 2.0318713349961772
RY 26 2.9713397497395166
RZ 26 0.20378438836223461
RY 27 0.7164448434875403
RZ 27 2.614046258593422
RY 28 3.0456597799594536
RZ 28 1.4095634205258512
RY 29 0.4887024701946804
RZ 29 0.6553139395158342
RY 30 0.6840938947545161
RZ 30 1.4959148364897639
RY 31 0.4062212260684914
RZ 31 2.9410508378885636
CZ 0 1
CZ 0 2
CZ 0 3
CZ 0 4
CZ 0 5
CZ 0 6
CZ 0 7
CZ 0 8
CZ 0 9
CZ 0 10
CZ 0 11
CZ 0 12
CZ 0 13
CZ 0 14
CZ 0 15
CZ 0 16
CZ 0 17
CZ 0 18
CZ 0 19
CZ 0 20
CZ 0 21
CZ 0 22
CZ 0 23
CZ 0 24
CZ 0 25
CZ 0 26
CZ 0 27
CZ 0 28
CZ 0 29
CZ 0 30
CZ 0 31
CZ 1 2
CZ 1 3
CZ 1 4
CZ 1 5
CZ 1 6
CZ 1 7
CZ 1 8
CZ 1 9
CZ 1 10
CZ 1 11
CZ 1 12
CZ 1 13
CZ 1 14
CZ 1 15
CZ 1 16
CZ 1 17
CZ 1 18
CZ 1 19
CZ 1 20
CZ 1 21
CZ 1 22
CZ 1 23
CZ 1 24
CZ 1 25
CZ 1 26
CZ 1 27
CZ 1 28
CZ 1 29
CZ 1 30
CZ 1 31
CZ 2 3
CZ 2 4
CZ 2 5
CZ 2 6
CZ 2 7
CZ 2 8
CZ 2 9
CZ 2 10
CZ 2 11
CZ 2 12
CZ 2 13
CZ 2 14
CZ 2 15
CZ 2 16
CZ 2 17
CZ 2 18
CZ 2 19
CZ 2 20
CZ 2 21
CZ 2 22
CZ 2 23
CZ 2 24
CZ 2 25
CZ 2 26
CZ 2 27
CZ 2 28
CZ 2 29
CZ 2 30
CZ 2 31
CZ 3 4
CZ 3 5
CZ 3 6
CZ 3 7
CZ 3 8
CZ 3 9
CZ 3 10
CZ 3 11
CZ 3 12
CZ 3 13
CZ 3 14
CZ 3 15
CZ 3 16
CZ 3 17
CZ 3 18
CZ 3 19
CZ 3 20
CZ 3 21
CZ 3 22
CZ 3 23
CZ 3 24
CZ 3 25
CZ 3 26
CZ 3 27
CZ 3 28
CZ 3 29
CZ 3 30
CZ 3 31
CZ 4 5
CZ 4 6
CZ 4 7
CZ 4 8
CZ 4 9
CZ 4 10
CZ 4 11
CZ 4 12
CZ 4 13
CZ 4 14
CZ 4 15
CZ 4 16
CZ 4 17
CZ 4 18
CZ 4 19
CZ 4 20
CZ 4 21
CZ 4 22
CZ 4 23
CZ 4 24
CZ 4 25
CZ 4 26
CZ 4 27
CZ 4 28
CZ 4 29
CZ 4 30
CZ 4 31
CZ 5 6
CZ 5 7
CZ 5 8
CZ 5 9
CZ 5 10
CZ 5 11
CZ 5 12
CZ 5 13
CZ 5 14
CZ 5 15
CZ 5 16
CZ 5 17
CZ 5 18
CZ 5 19
CZ 5 20
CZ 5 21
CZ 5 22
CZ 5 23
CZ 5 24
CZ 5 25
CZ 5 26
CZ 5 27
CZ 5 28
CZ 5 29
CZ 5 30
CZ 5 31
CZ 6 7
CZ 6 8
CZ 6 9
CZ 6 10
CZ 6 11
CZ 6 12
CZ 6 13
CZ 6 14
CZ 6 15
CZ 6 16
CZ 6 17
CZ 6 18
CZ 6 19
CZ 6 20
CZ 6 21
CZ 6 22
CZ 6 23
CZ 6 24
CZ 6 25
CZ 6 26
CZ 6 27
CZ 6 28
CZ 6 29
CZ 6 30
CZ 6 31
CZ 7 8
CZ 7 9
CZ 7 10
CZ 7 11
CZ 7 12
CZ 7 13
CZ 7 14
CZ 7 15
CZ 7 16
CZ 7 17
CZ 7 18
CZ 7 19
CZ 7 20
CZ 7 21
CZ 7 22
CZ 7 23
CZ 7 24
CZ 7 25
CZ 7 26
CZ 7 27
CZ 7 28
CZ 7 29
CZ 7 30
CZ 7 31
CZ 8 9
CZ 8 10
CZ 8 11
CZ 8 12
CZ 8 13
CZ 8 14
CZ 8 15
CZ 8 16
CZ 8 17
CZ 8 18
CZ 8 19
CZ 8 20
CZ 8 21
CZ 8 22
CZ 8 23
CZ 8 24
CZ 8 25
CZ 8 26
CZ 8 27
CZ 8 28
CZ 8 29
CZ 8 30
CZ 8 31
CZ 9 10
CZ 9 11
CZ 9 12
CZ 9 13
CZ 9 14
CZ 9 15
CZ 9 16
CZ 9 17
CZ 9 18
CZ 9 19
CZ 9 20
CZ 9 21
CZ 9 22
CZ 9 23
CZ 9 24
CZ 9 25
CZ 9 26
CZ 9 27
CZ 9 28
CZ 9 29
CZ 9 30
CZ 9 31
CZ 10 11
CZ 10 12
CZ 10 13
CZ 10 14
CZ 10 15
CZ 10 16
CZ 10 17
CZ 10 18
CZ 10 19
CZ 10 20
CZ 10 21
CZ 10 22
CZ 10 23
CZ 10 24
CZ 10 25
CZ 10 26
CZ 10 27
CZ 10 28
CZ 10 29
CZ 10 30
CZ 10 31
CZ 11 12
CZ 11 13
CZ 11 14
CZ 11 15
CZ 11 16
CZ 11 17
CZ 11 18
CZ 11 19
CZ 11 20
CZ 11 21
CZ 11 22
CZ 11 23
CZ 11 24
CZ 11 25
CZ 11 26
CZ 11 27
CZ 11 28
CZ 11 29
CZ 11 30
CZ 11 31
CZ 12 13
CZ 12 14
CZ 12 15
CZ 12 16
CZ 12 17
CZ 12 18
CZ 12 19
CZ 12 20
CZ 12 21
CZ 12 22
CZ 12 23
CZ 12 24
CZ 12 25
CZ 12 26
CZ 12 27
CZ 12 28
CZ 12 29
CZ 12 30
CZ 12 31
CZ 13 14
CZ 13 15
CZ 13 16
CZ 13 17
CZ 13 18
CZ 13 19
CZ 13 20
CZ 13 21
CZ 13 22
CZ 13 23
CZ 13 24
CZ 13 25
CZ 13 26
CZ 13 27
CZ 13 28
CZ 13 29
CZ 13 30
CZ 13 31
CZ 14 15
CZ 14 16
CZ 14 17
CZ 14 18
CZ 14 19
CZ 14 20
CZ 14 21
CZ 14 22
CZ 14 23
CZ 14 24
CZ 14 25
CZ 14 26
CZ 14 27
CZ 14 28
CZ 14 29
CZ 14 30
CZ 14 31
CZ 15 16
CZ 15 17
CZ 15 18
CZ 15 19
CZ 15 20
CZ 15 21
CZ 15 22
CZ 15 23
CZ 15 24
CZ 15 25
CZ 15 26
CZ 15 27
CZ 15 28
CZ 15 29
CZ 15 30
CZ 15 31
CZ 16 17
CZ 16 18
CZ 16 19
CZ 16 20
CZ 16 21
CZ 16 22
CZ 16 23
CZ 16 24
CZ 16 25
CZ 16 26
CZ 16 27
CZ 16 28
CZ 16 29
CZ 16 30
CZ 16 31
CZ 17 18
CZ 17 19
CZ 17 20
CZ 17 21
CZ 17 22
CZ 17 23
CZ 17 24
CZ 17 25
CZ 17 26
CZ 17 27
CZ 17 28
CZ 17 29
CZ 17 30
CZ 17 31
CZ 18 19
CZ 18 20
CZ 18 21
CZ 18 22
CZ 18 23
CZ 18 24
CZ 18 25
CZ 18 26
CZ 18 27
CZ 18 28
CZ 18 29
CZ 18 30
CZ 18 31
CZ 19 20
CZ 19 21
CZ 19 22
CZ 19 23
CZ 19 24
CZ 19 25
CZ 19 26
CZ 19 27
CZ 19 28
CZ 19 29
CZ 19 30
CZ 19 31
CZ 20 21
CZ 20 22
CZ 20 23
CZ 20 24
CZ 20 25
CZ 20 26
CZ 20 27
CZ 20 28
CZ 20 29
CZ 20 30
CZ 20 31
CZ 21 22
CZ 21 23
CZ 21 24
CZ 21 25
CZ 21 26
CZ 21 27
CZ 21 28
CZ 21 29
CZ 21 30
CZ 21 31
CZ 22 23
CZ 22 24
CZ 22 25
CZ 22 26
CZ 22 27
CZ 22 28
CZ 22 29
CZ 22 30
CZ 22 31
CZ 23 24
CZ 23 25
CZ 23 26
CZ 23 27
CZ 23 28
CZ 23 29
CZ 23 30
CZ 23 31
CZ 24 25
CZ 24 26
CZ 24 27
CZ 24 28
CZ 24 29
CZ 24 30
CZ 24 31
CZ 25 26
CZ 25 27
CZ 25 28
CZ 25 29
CZ 25 30
CZ 25 31
CZ 26 27
CZ 26 28
CZ 26 29
CZ 26 30
CZ 26 31
CZ 27 28
CZ 27 29
CZ 27 30
CZ 27 31
CZ 28 29
CZ 28 30
CZ 28 31
CZ 29 30
CZ 29 31
CZ 30 31
RY 0 0.9487216857011058
RZ 0 2.348591942529286
RY 1 1.6522912508042762
RZ 1 0.04443927289652527
RY 2 1.8050806919628177
RZ 2 3.0988501699100195
RY 3 0.0015233684234590898
RZ 3 0.04607451839460124
RY 4 1.3656136838436908
RZ 4 0.4807525409279968
RY 5 1.1941743126200235
RZ 5 0.11123966926953628
RY 6 0.322320388228249
RZ 6 3.0348225469211147
RY 7 1.4938934402092476
RZ 7 2.909377319669167
RY 8 1.9408334191245848
RZ 8 0.9695034442363409
RY 9 1.4592826330422617
RZ 9 2.897821468889742
RY 10 2.2913546454387785
RZ 10 2.6589848462162107
RY 11 0.06321533374356443
RZ 11 1.9573987521039924
RY 12 1.134174956870814
RZ 12 1.1780620354917137
RY 13 0.7665722152251487
RZ 13 1.4885879303676972
RY 14 0.9125041143133109
RZ 14 1.4177338039306933
RY 15 2.4543549894236647
RZ 15 0.6836766245855923
RY 16 1.9416222288016445
RZ 16 1.1660240001304796
RY 17 0.4079322005585875
RZ 17 0.1004481535558651
RY 18 0.5911881640534836
RZ 18 2.0207361273234254
RY 19 1.9061014812361672
RZ 19 0.2605034144145984
RY 20 1.3321138416815494
RZ 20 3.070108774392552
RY 21 2.8071199015438655
RZ 21 0.5913778181571895
RY 22 1.5015586607455773
RZ 22 0.3786858895222847
RY 23 1.7879922731065827
RZ 23 2.40467752695216
RY 24 2.7542242960690624
RZ 24 1.3473072905678312
RY 25 2.4965200338889413
RZ 25 2.5285049199380483
RY 26 0.9268618612164069
RZ 26 0.8399903253710671
RY 27 1.1172176708404806
RZ 27 2.9854737148930877
RY 28 1.907862493610459
RZ 28 0.6057538061108854
RY 29 2.543703143707068
RZ 29 0.18338840528315242
RY 30 1.3775579552001311
RZ 30 1.0034126927975429
RY 31 0.9708162557296929
RZ 31 1.66381534539604
CZ 0 1
CZ 0 2
CZ 0 3
CZ 0 4
CZ 0 5
CZ 0 6
CZ 0 7
CZ 0 8
CZ 0 9
CZ 0 10
CZ 0 11
CZ 0 12
CZ 0 13
CZ 0 14
CZ 0 15
CZ 0 16
CZ 0 17
CZ 0 18
CZ 0 19
CZ 0 20
CZ 0 21
CZ 0 22
CZ 0 23
CZ 0 24
CZ 0 25
CZ 0 26
CZ 0 27
CZ 0 28
CZ 0 29
CZ 0 30
CZ 0 31
CZ 1 2
CZ 1 3
CZ 1 4
CZ 1 5
CZ 1 6
CZ 1 7
CZ 1 8
CZ 1 9
CZ 1 10
CZ 1 11
CZ 1 12
CZ 1 13
CZ 1 14
CZ 1 15
CZ 1 16
CZ 1 17
CZ 1 18
CZ 1 19
CZ 1 20
CZ 1 21
CZ 1 22
CZ 1 23
CZ 1 24
CZ 1 25
CZ 1 26
CZ 1 27
CZ 1 28
CZ 1 29
CZ 1 30
CZ 1 31
CZ 2 3
CZ 2 4
CZ 2 5
CZ 2 6
CZ 2 7
CZ 2 8
CZ 2 9
CZ 2 10
CZ 2 11
CZ 2 12
CZ 2 13
CZ 2 14
CZ 2 15
CZ 2 16
CZ 2 17
CZ 2 18
CZ 2 19
CZ 2 20
CZ 2 21
CZ 2 22
CZ 2 23
CZ 2 24
CZ 2 25
CZ 2 26
CZ 2 27
CZ 2 28
CZ 2 29
CZ 2 30
CZ 2 31
CZ 3 4
CZ 3 5
CZ 3 6
CZ 3 7
CZ 3 8
CZ 3 9
CZ 3 10
CZ 3 11
CZ 3 12
CZ 3 13
CZ 3 14
CZ 3 15
CZ 3 16
CZ 3 17
CZ 3 18
CZ 3 19
CZ 3 20
CZ 3 21
CZ 3 22
CZ 3 23
CZ 3 24
CZ 3 25
CZ 3 26
CZ 3 27
CZ 3 28
CZ 3 29
CZ 3 30
CZ 3 31
CZ 4 5
CZ 4 6
CZ 4 7
CZ 4 8
CZ 4 9
CZ 4 10
CZ 4 11
CZ 4 12
CZ 4 13
CZ 4 14
CZ 4 15
CZ 4 16
CZ 4 17
CZ 4 18
CZ 4 19
CZ 4 20
CZ 4 21
CZ 4 22
CZ 4 23
CZ 4 24
CZ 4 25
CZ 4 26
CZ 4 27
CZ 4 28
CZ 4 29
CZ 4 30
CZ 4 31
CZ 5 6
CZ 5 7
CZ 5 8
CZ 5 9
CZ 5 10
CZ 5 11
CZ 5 12
CZ 5 13
CZ 5 14
CZ 5 15
CZ 5 16
CZ 5 17
CZ 5 18
CZ 5 19
CZ 5 20
CZ 5 21
CZ 5 22
CZ 5 23
CZ 5 24
CZ 5 25
CZ 5 26
CZ 5 27
CZ 5 28
CZ 5 29
CZ 5 30
CZ 5 31
CZ 6 7
CZ 6 8
CZ 6 9
CZ 6 10
CZ 6 11
CZ 6 12
CZ 6 13
CZ 6 14
CZ 6 15
CZ 6 16
CZ 6 17
CZ 6 18
CZ 6 19
CZ 6 20
CZ 6 21
CZ 6 22
CZ 6 23
CZ 6 24
CZ 6 25
CZ 6 26
CZ 6 27
CZ 6 28
CZ 6 29
CZ 6 30
CZ 6 31
CZ 7 8
CZ 7 9
CZ 7 10
CZ 7 11
CZ 7 12
CZ 7 13
CZ 7 14
CZ 7 15
CZ 7 16
CZ 7 17
CZ 7 18
CZ 7 19
CZ 7 20
CZ 7 21
CZ 7 22
CZ 7 23
CZ 7 24
CZ 7 25
CZ 7 26
CZ 7 27
CZ 7 28
CZ 7 29
CZ 7 30
CZ 7 31
CZ 8 9
CZ 8 10
CZ 8 11
CZ 8 12
CZ 8 13
CZ 8 14
CZ 8 15
CZ 8 16
CZ 8 17
CZ 8 18
CZ 8 19
CZ 8 20
CZ 8 21
CZ 8 22
CZ 8 23
CZ 8 24
CZ 8 25
CZ 8 26
CZ 8 27
CZ 8 28
CZ 8 29
CZ 8 30
CZ 8 31
CZ 9 10
CZ 9 11
CZ 9 12
CZ 9 13
CZ 9 14
CZ 9 15
CZ 9 16
CZ 9 17
CZ 9 18
CZ 9 19
CZ 9 20
CZ 9 21
CZ 9 22
CZ 9 23
CZ 9 24
CZ 9 25
CZ 9 26
CZ 9 27
CZ 9 28
CZ 9 29
CZ 9 30
CZ 9 31
CZ 10 11
CZ 10 12
CZ 10 13
CZ 10 14
CZ 10 15
CZ 10 16
CZ 10 17
CZ 10 18
CZ 10 19
CZ 10 20
CZ 10 21
CZ 10 22
CZ 10 23
CZ 10 24
CZ 10 25
CZ 10 26
CZ 10 27
CZ 10 28
CZ 10 29
CZ 10 30
CZ 10 31
CZ 11 12
CZ 11 13
CZ 11 14
CZ 11 15
CZ 11 16
CZ 11 17
CZ 11 18
CZ 11 19
CZ 11 20
CZ 11 21
CZ 11 22
CZ 11 23
CZ 11 24
CZ 11 25
CZ 11 26
CZ 11 27
CZ 11 28
CZ 11 29
CZ 11 30
CZ 11 31
CZ 12 13
CZ 12 14
CZ 12 15
CZ 12 16
CZ 12 17
CZ 12 18
CZ 12 19
CZ 12 20
CZ 12 21
CZ 12 22
CZ 12 23
CZ 12 24
CZ 12 25
CZ 12 26
CZ 12 27
CZ 12 28
CZ 12 29
CZ 12 30
CZ 12 31
CZ 13 14
CZ 13 15
CZ 13 16
CZ 13 17
CZ 13 18
CZ 13 19
CZ 13 20
CZ 13 21
CZ 13 22
CZ 13 23
CZ 13 24
CZ 13 25
CZ 13 26
CZ 13 27
CZ 13 28
CZ 13 29
CZ 13 30
CZ 13 31
CZ 14 15
CZ 14 16
CZ 14 17
CZ 14 18
CZ 14 19
CZ 14 20
CZ 14 21
CZ 14 22
CZ 14 23
CZ 14 24
CZ 14 25
CZ 14 26
CZ 14 27
CZ 14 28
CZ 14 29
CZ 14 30
CZ 14 31
CZ 15 16
CZ 15 17
CZ 15 18
CZ 15 19
CZ 15 20
CZ 15 21
CZ 15 22
CZ 15 23
CZ 15 24
CZ 15 25
CZ 15 26
CZ 15 27
CZ 15 28
CZ 15 29
CZ 15 30
CZ 15 31
CZ 16 17
CZ 16 18
CZ 16 19
CZ 16 20
CZ 16 21
CZ 16 22
CZ 16 23
CZ 16 24
CZ 16 25
CZ 16 26
CZ 16 27
CZ 16 28
CZ 16 29
CZ 16 30
CZ 16 31
CZ 17 18
CZ 17 19
CZ 17 20
CZ 17 21
CZ 17 22
CZ 17 23
CZ 17 24
CZ 17 25
CZ 17 26
CZ 17 27
CZ 17 28
CZ 17 29
CZ 17 30
CZ 17 31
CZ 18 19
CZ 18 20
CZ 18 21
CZ 18 22
CZ 18 23
CZ 18 24
CZ 18 25
CZ 18 26
CZ 18 27
CZ 18 28
CZ 18 29
CZ 18 30
CZ 18 31
CZ 19 20
CZ 19 21
CZ 19 22
CZ 19 23
CZ 19 24
CZ 19 25
CZ 19 26
CZ 19 27
CZ 19 28
CZ 19 29
CZ 19 30
CZ 19 31
CZ 20 21
CZ 20 22
CZ 20 23
CZ 20 24
CZ 20 25
CZ 20 26
CZ 20 27
CZ 20 28
CZ 20 29
CZ 20 30
CZ 20 31
CZ 21 22
CZ 21 23
CZ 21 24
CZ 21 25
CZ 21 26
CZ 21 27
CZ 21 28
CZ 21 29
CZ 21 30
CZ 21 31
CZ 22 23
CZ 22 24
CZ 22 25
CZ 22 26
CZ 22 27
CZ 22 28
CZ 22 29
CZ 22 30
CZ 22 31
CZ 23 24
CZ 23 25
CZ 23 26
CZ 23 27
CZ 23 28
CZ 23 29
CZ 23 30
CZ 23 31
CZ 24 25
CZ 24 26
CZ 24 27
CZ 24 28
CZ 24 29
CZ 24 30
CZ 24 31
CZ 25 26
CZ 25 27
CZ 25 28
CZ 25 29
CZ 25 30
CZ 25 31
CZ 26 27
CZ 26 28
CZ 26 29
CZ 26 30
CZ 26 31
CZ 27 28
CZ 27 29
CZ 27 30
CZ 27 31
CZ 28 29
CZ 28 30
CZ 28 31
CZ 29 30
CZ 29 31
CZ 30 31
RY 0 1.9742580318135003
RZ 0 0.6643320937666828
RY 1 0.8852807598732747
RZ 1 0.05882638605249977
RY 2 1.441111920909636
RZ 2 0.471520440803048
RY 3 2.8322535795166375
RZ 3 1.2508622083505414
RY 4 1.3409390286523555
RZ 4 2.3723326736346895
RY 5 0.9419768864744024
RZ 5 1.6158241175517103
RY 6 1.2610826810667137
RZ 6 1.2947394618083286
RY 7 0.6322003205406231
RZ 7 2.702531333484842
RY 8 0.041095259799574284
RZ 8 0.9516921136426633
RY 9 0.4513900196469871
RZ 9 0.251121383015978
RY 10 2.921296869625101
RZ 10 2.0873852816633987
RY 11 1.4548656060710918
RZ 11 0.1554767806694209
RY 12 2.9687768633522875
RZ 12 3.0115973983974724
RY 13 3.120940277905963
RZ 13 0.7100503112681039
RY 14 2.508078278329767
RZ 14 0.12606877883136058
RY 15 1.85471470371874
RZ 15 2.1893481837906617
RY 16 1.9870084070381635
RZ 16 1.4626786262860232
RY 17 2.758791561727453
RZ 17 2.4809953234768214
RY 18 2.323727313743956
RZ 18 1.6462257164399299
RY 19 1.540024436940959
RZ 19 0.1502965069615877
RY 20 0.7043247809159937
RZ 20 0.473746287170211
RY 21 0.5328967979081423
RZ 21 0.5380398990121705
RY 22 2.779946551196975
RZ 22 1.0216350535455627
RY 23 2.3457723077046744
RZ 23 2.0570949294364334
RY 24 2.250181125219736
RZ 24 1.5963384747541207
RY 25 3.1375380502023584
RZ 25 1.2228864878110635
RY 26 2.8735480424611866
RZ 26 1.6634027097634834
RY 27 2.544727744535968
RZ 27 0.9737987894408858
RY 28 1.1210692331283836
RZ 28 0.03995811130231179
RY 29 0.6430282590822386
RZ 29 0.8486141048990483
RY 30 2.739246899678767
RZ 30 1.9547053094349265
RY 31 0.14536456916252127
RZ 31 0.20085730531074658
CZ 0 1
CZ 0 2
CZ 0 3
CZ 0 4
CZ 0 5
CZ 0 6
CZ 0 7
CZ 0 8
CZ 0 9
CZ 0 10
CZ 0 11
CZ 0 12
CZ 0 13
CZ 0 14
CZ 0 15
CZ 0 16
CZ 0 17
CZ 0 18
CZ 0 19
CZ 0 20
CZ 0 21
CZ 0 22
CZ 0 23
CZ 0 24
CZ 0 25
CZ 0 26
CZ 0 27
CZ 0 28
CZ 0 29
CZ 0 30
CZ 0 31
CZ 1 2
CZ 1 3
CZ 1 4
CZ 1 5
CZ 1 6
CZ 1 7
CZ 1 8
CZ 1 9
CZ 1 10
CZ 1 11
CZ 1 12
CZ 1 13
CZ 1 14
CZ 1 15
CZ 1 16
CZ 1 17
CZ 1 18
CZ 1 19
CZ 1 20
CZ 1 21
CZ 1 22
CZ 1 23
CZ 1 24
CZ 1 25
CZ 1 26
CZ 1 27
CZ 1 28
CZ 1 29
CZ 1 30
CZ 1 31
CZ 2 3
CZ 2 4
CZ 2 5
CZ 2 6
CZ 2 7
CZ 2 8
CZ 2 9
CZ 2 10
CZ 2 11
CZ 2 12
CZ 2 13
CZ 2 14
CZ 2 15
CZ 2 16
CZ 2 17
CZ 2 18
CZ 2 19
CZ 2 20
CZ 2 21
CZ 2 22
CZ 2 23
CZ 2 24
CZ 2 25
CZ 2 26
CZ 2 27
CZ 2 28
CZ 2 29
CZ 2 30
CZ 2 31
CZ 3 4
CZ 3 5
CZ 3 6
CZ 3 7
CZ 3 8
CZ 3 9
CZ 3 10
CZ 3 11
CZ 3 12
CZ 3 13
CZ 3 14
CZ 3 15
CZ 3 16
CZ 3 17
CZ 3 18
CZ 3 19
CZ 3 20
CZ 3 21
CZ 3 22
CZ 3 23
CZ 3 24
CZ 3 25
CZ 3 26
CZ 3 27
CZ 3 28
CZ 3 29
CZ 3 30
CZ 3 31
CZ 4 5
CZ 4 6
CZ 4 7
CZ 4 8
CZ 4 9
CZ 4 10
CZ 4 11
CZ 4 12
CZ 4 13
CZ 4 14
CZ 4 15
CZ 4 16
CZ 4 17
CZ 4 18
CZ 4 19
CZ 4 20
CZ 4 21
CZ 4 22
CZ 4 23
CZ 4 24
CZ 4 25
CZ 4 26
CZ 4 27
CZ 4 28
CZ 4 29
CZ 4 30
CZ 4 31
CZ 5 6
CZ 5 7
CZ 5 8
CZ 5 9
CZ 5 10
CZ 5 11
CZ 5 12
CZ 5 13
CZ 5 14
CZ 5 15
CZ 5 16
CZ 5 17
CZ 5 18
CZ 5 19
CZ 5 20
CZ 5 21
CZ 5 22
CZ 5 23
CZ 5 24
CZ 5 25
CZ 5 26
CZ 5 27
CZ 5 28
CZ 5 29
CZ 5 30
CZ 5 31
CZ 6 7
CZ 6 8
CZ 6 9
CZ 6 10
CZ 6 11
CZ 6 12
CZ 6 13
CZ 6 14
CZ 6 15
CZ 6 16
CZ 6 17
CZ 6 18
CZ 6 19
CZ 6 20
CZ 6 21
CZ 6 22
CZ 6 23
CZ 6 24
CZ 6 25
CZ 6 26
CZ 6 27
CZ 6 28
CZ 6 29
CZ 6 30
CZ 6 31
CZ 7 8
CZ 7 9
CZ 7 10
CZ 7 11
CZ 7 12
CZ 7 13
CZ 7 14
CZ 7 15
